Word,Type,Definition1,Definition2,Example,Synonym
a las,expression,it is,time,a las cinco,
silhig,noun,broom,sweep,"asa ang silhig, gusto ko limpyo karon",-
hilak,verb,cry,,,
disiplina,adjective,discipline,-,wala disiplina naa siya,-
sakit,verb,pain,sick,sakit akong likod,
laglom,adjective,deep,vessel,"kuyaw, laglom kaayo",-
pula,color,red,-,akong panit kay puti ug pula,-
uli,noun,again,,kaon ta uli,-
kutsara,noun,spoon,,,
dawat,verb,to accept,accept,,
kagabii,expression,last night,-,nag gawas mi kagabii,gahapon
suko,verb,angry,,Akong iring kay suko siya,
linkoranan,noun,chair,,,
kumusta,,how are you,hello,musta ka?,musta
hapit,expression,almost,,hapit na!,
martilyo,noun,hammer,,,
lipay,,happy,,,
mi,expression,we,us,sige lang mi,
sud-an,noun,dish,meal,,
sunod,expression,next,,,
uban,expression,with,,dinhi ko uban akong pamilia ug mga umagad,
sugat,verb,meet,welcome,mag kita ko naka kanus-a muabot ka naa among syudad,-
duha,number,two,-,Mopalit kog duha,-
ulo,body,head,,,
plato,noun,plate,,,
bulad,food,dried small fish,dried fish,,
tuig,expression,year,,,
asa,5Ws,where,-,Asa na ka karon?,"diin,hain"
yawyaw,verb,nag,yell,akong asawa kay yawyaw sa ako permi,
biyernes,weekday,Friday,,,
tagae ko,verb,give me,,tagae ko imong silhig paki,
linog,noun,earthquake,,,
suoton,verb,to wear,wear,,
presyo,noun,price,fee,tagpila ang presyo para kiri?,bayad
basa,,wet,read,,
kuyaw,expression,wow,-,"ah diya, kuyaw!",kaayo
pedicab,expression,tricycle,taxi,,
kulba,verb,nervous,scared,,hadlok
mag,prefix,future,,magkita ta puhon,
duwende,expression,elf,,ikaw tanaw sama sa duwende,
buluhaton,verb,chore,task,Naa ko mga buluhaton sa akong balay,
ilong,body,nose,,,
ang,,the,,asa ang banyo,
likod,body,back,,,
atsara,food,pickle,,,
tanan,,all,everyone,ganahan ko tanan kalawhan,
ali,verb,come,,dai ali diri,umari
lapis,noun,pencil,,mubo ang lapis,
gitling,color,purple,,,kiling
laba,verb,wash,wash clothes,kinahanglan laba ko among mga sanina,hugas
sanina,noun,shirt,clothes,,
bungol,adjective,deaf,-,bungol ko panagsa,-
kuryente,noun,electricity,,ayaw paghikap kay ang kuryente,
walo,number,eight,-,naa ta walo,-
hinog,adjective,ripe,,ang saging kay hinog,
loud,adjective,gross,disgusting,,
tagaan,verb,give,provide,pwede ka tagaan nako ang pagkaon palihug,
unom,number,six,,,
away,verb,fight,enemy,si pepper ug mochi permi away-away,
paminaw,verb,hear,listen,"paminaw ra ko, mag kat-on mas Bisaya",nakadungog
kaon,,eat,,,
unya,noun,then,later,magkita ta unya,
laag-laag,verb,walk,stroll,adto ta laag-laag sa merkado,suroy-suroy
mag-uuma,noun,farmer,,akong lolo nag mag-uuma para kinabuhi siya,
sala,expression,sin,,nakabuhat ko ug gamay nga sala,
pas-pas,expression,fast,,,
bulawan,color,gold,,,
kay,,because,"with,is",,
dula,,play,game,,
gayud,expression,never,,,
pahibaw,verb,notice,inform,pahibaw-on ko nimo kanus-a mag kabalo ko,
hatsing,expression,sneeze,-,kusog ang imong hatsing!,-
sabado,weekday,Saturday,-,-,-
gupit,verb,cut,,,
gamit,verb,use,,Mag gamit ko kana unya,buhat
kasabot,verb,to understand,understand,dili kasabot ko kini,kabalo
kaila,verb,meet,acquaint,,
hagdanan,noun,stairs,staircase,pag-amping sa hagdanan lola,cs-
langnam,,bird,,,
kanus-a,5Ws,when,,,
kinsa,5Ws,who,,kinsa na siya?,
damgo,verb,to dream,dream,unsa nidamgo ka kagabii?,
tapulan,adjective,lazy,,mag gusto tapulan ko karon adlaw,
marso,month,march,,,
ugma,expression,tomorrow,,,
uhaw,,thirst,,Guihaw ko kaayo,
maayo,,good,,maayong adlaw!,buotan
hangin,noun,air,,ang hangin mao lami,
bisita,verb,visit,,,
lumos,verb,drown,,,
siyam,number,nine,,,
disturbo,verb,disturb,,sila nag disturbo siya,
nabilin,noun,leftover,survivor,nabilin na pagkaon,
domingo,weekday,Sunday,,,
dalan,noun,road,,hugaw ang dalan,
lahi,,different,breed,,
