Word,Type,Definition1,Definition2,Example,Synonym
bong-bong,noun,wall,,,
plasa,,plaza,,,
mag-uuma,noun,farmer,,akong lolo nag mag-uuma para kinabuhi siya,
una,expression,first,,,
ulo,body,head,,,
bagong tuig,expression,new year,,,
lima,number,five,,,
dagan,verb,run,,dagan ka paspas kaayo,
gawas,,outside,exterior,,
kuyog,,together,swarm,mag adto ko kuyog nimo,kauban
udto,noon,noon,,a las udto,
dili,,no,,dili storya ka,di/wala
tanaw,verb,look,watch,"ayaw tanaw, ako naked!","mata,tutuk"
ilis,verb,change,,kinahanglan akong mga sanina una,
uban,expression,with,,dinhi ko uban akong pamilia ug mga umagad,
maldita,verb,irritable,damned,,
labot,,care,concern,,
lang,,just,simply,,ra
unlan,noun,pillow,,kini unlan kay nindot,
ulaw,verb,shy,,ulaw-on siya,
gyud,expression,really,,,
gitas-on,noun,height,,unsa sa imong gitas-on?,
kinahanglan,verb,need,require,kinahanglan ko ang San Miguel para kinabuhi-on,
hinog,adjective,ripe,,ang saging kay hinog,
makituon,,studious,,,
tiyan,body,stomach,,"Sakit akong tiyan, bidli ko",
kuryente,noun,electricity,,ayaw paghikap kay ang kuryente,
siko,body,elbow,,,
gwapo,,handsome,,,
lansang,noun,nails,nail,kanihanglan ko ang martilyo ug mga lansang,
dula,,play,game,,
tamis,,sweet,,,
pahulay,verb,rest,,gusto pahulay ko para dugay pa,
ganahan,verb,like,,ganahan kaayo ko sa adobo,
palit,verb,buy,purchase,mag palit ko mga mani para nimo,
atiman,verb,take care,,atiman ko sa akong asawa,
hinumdum,verb,remember,,"nakahinumdum ra ko, niadto ta sa dinhi ganiha dugay pa",
iyang,pronoun,his/her,their,gitawag kini sa ilang pamilya nga 'pus-pas',ilang
mao,verb,is,be,,
langoy,verb,swim,,gusto langoy ko karon uban tanan,
kuan,expression,thing,anything,asa ang kana kuan?,
sila,pronoun,they,them,,
saging,food,banana,,,
duda,adjective,doubt,suspicous,nag duda sila,
maka,verb,can,,maka ba ka dunk?,
disturbo,verb,disturb,,sila nag disturbo siya,
ko,pronoun,I,,,ako
giyaw,color,yellow,,,amarillo
suplado,,stubborn,,,
